time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2023/12/25/17:16:30.147458,172816,1703495790,144937518,/gps,0,0,24.882809535,121.156083803,352.070007324,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.247268,172817,1703495790,245215622,/gps,0,0,24.8828085817,121.156084222,352.070007324,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.297447,172818,1703495790,295348358,/gps,0,0,24.8828081083,121.156084435,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.348061,172819,1703495790,345183609,/gps,0,0,24.882807635,121.156084648,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.397513,172820,1703495790,395675796,/gps,0,0,24.8828071583,121.156084855,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.447447,172821,1703495790,445184489,/gps,0,0,24.8828066817,121.156085063,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.497602,172822,1703495790,495469631,/gps,0,0,24.8828062017,121.156085272,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.547391,172823,1703495790,545090757,/gps,0,0,24.8828057267,121.156085482,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.598205,172824,1703495790,595557266,/gps,0,0,24.882805245,121.15608569,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.647619,172825,1703495790,645090020,/gps,0,0,24.8828047617,121.156085897,352.059997559,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.696945,172826,1703495790,695290186,/gps,0,0,24.8828042767,121.156086103,352.049987793,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.747189,172827,1703495790,744988170,/gps,0,0,24.882803785,121.156086305,352.049987793,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
2023/12/25/17:16:30.796960,172828,1703495790,795120889,/gps,0,0,24.882803285,121.156086507,352.049987793,"(0.0002190400001323223, 0.0, 0.0, 0.0, 0.00018769000028580427, 0.0, 0.0, 0.0, 0.00025600002431869565)",2
